666,1,1,1,1,4,5,5,7,8
1,1,1,1,2,2,4,5,3,8
1,1,1,1,1,2,2,2,4,7
1,1,1,1,2,2,3,4,5,11
1,1,2,2,3,4,4,6,7,11
1,1,1,3,3,4,4,4,5,6
1,2,3,4,4,5,5,5,6,33
1,1,1,2,2,2,4,5,6,11
1,1,1,2,4,8,8,8,8,9
1,1,2,2,2,3,4,5,8,9
44,44,55,44,44,44,44,55,44,44
44,44,66,55,44,44,66,55,44,44
55,55,55,44,44,44,44,44,55,44
1,1,1,1,2,2,6,33,11,9
2,2,4,5,6,6,6,7,7,11
1,1,1,1,1,1,5,5,5,6
1,2,5,5,7,7,8,8,8,11
4,3,1,2,1,7,2,2,2,3
7,2,5,3,8,4,11,1,2,1
1,1,2,3,7,8,4,1,4,1
1,2,3,2,2,2,2,22,7,1
2,1,4,1,4,1,2,1,1,2
1,7,1,8,7,1,8,1,2,2
4,9,5,8,1,7,1,1,2,1
22,5,1,11,22,1,8,7,7,11
1,4,4,33,4,1,11,1,7,3
4,7,1,1,1,4,2,22,11,1
1,6,5,3,7,6,1,2,11,11
6,1,7,2,2,2,1,5,2,4
6,2,22,1,11,5,6,2,1,4
5,5,6,2,2,6,2,1,1,3
2,6,3,2,1,2,9,5,1,11
4,1,2,1,1,5,3,1,2,5
11,8,2,2,1,1,4,6,22,1
8,1,7,3,8,2,2,7,4,4
4,7,1,1,5,2,7,7,33,7
5,4,7,4,1,5,7,2,2,2
4,6,1,1,11,1,2,1,2,1
2,1,2,1,2,11,1,2,2,1
1,9,5,4,1,6,2,8,5,5
1,4,1,3,7,6,1,11,2,2
4,1,3,22,4,1,2,3,2,2
1,4,2,1,1,1,7,22,7,1
1,2,1,1,2,7,22,1,7,1
2,2,2,5,8,8,1,4,1,1
1,1,1,5,3,2,1,1,5,8
2,1,1,1,1,2,1,6,1,5
1,1,1,1,2,7,1,1,1,2
8,4,11,5,2,7,1,7,7,4
4,4,1,1,4,1,7,7,1,1
2,5,8,4,1,2,8,8,2,1
1,7,7,1,8,1,5,2,1,7
1,11,1,1,2,3,4,3,11,3
7,1,7,33,1,6,8,1,22,2
4,2,4,2,8,2,5,2,2,6
1,2,4,1,7,3,4,1,1,1
7,1,2,1,4,8,2,2,3,2
4,1,6,1,3,3,1,8,1,5
1,1,7,1,5,8,7,5,2,22
2,1,1,3,4,1,1,1,2,8
1,6,2,2,6,4,7,5,5,8
4,1,11,4,2,4,1,1,7,1
4,1,8,2,1,1,4,2,5,22
2,2,1,33,444,444,555,444,111,111
111,111,111,111,333,444,444,222,444,111
444,111,111,111,111,222,111,111,555,444
111,222,111,444,222,222,111,111,444,444
444,444,444,444,555,222,333,444,222,444
444,111,111,444,222,222,444,444,222,222
111,222,111,444,444,444,222,444,444,111
222,111,444,222,111,444,444,444,555,222
444,111,444,444,444,444,333,444,222,444
222,222,111,444,444,444,555,222,111,444
111,111,444,444,44,55,55,44,44,44
44,44,44,44,44,44,44,44,44,44
44,66,44,44,44,44,44,44,2,8
2,3,7,1,2,22,8,2,44,44
44,44,44,44,44,44,44,44,44,44
44,44,44,44,44,55,44,44,44,44
44,55,44,44,55,44,44,44,55,44
44,44,44,44,66,44,44,44,44,44
44,44,44,44,44,44,44,44,44,44
44,44,55,44,44,44,55,44,44,55
44,55,44,44,44,44,1,2,8,2
9,5,7,2,3,7,3,7,8,5
33,3,1,5,7,7,5,11,1,4
11,2,11,2,5,7,8,4,4,1
1,7,3,1,8,3,2,2,6,5
6,4,6,7,8,1,2,1,11,1
1,1,1,7,2,7,5,8,5,1
5,8,2,1,7,5,8,3,1,1
7,1,4,1,1,2,1,1,1,2
44,44,55,44,44,44,44,44,44,44
44,6,3,7,6,6,3,1,1,5
11,2,1,1,7,5,1,11,7,1
2,7,7,4,4,2,8,1,1,11
2,3,1,7,1,5,2,1,5,1
7,2,2,3,5,4,3,1,2,2
2,8,1,4,4,4,33,2,1,11
4,4,7,2,4,1,5,4,1,1
1,4,4,2,1,5,22,1,4,2
1,4,4,4,5,8,5,4,1,8
7,4,1,5,3,5,1,1,5,3
3,5,4,1,3,5,1,11,5,4
1,7,4,22,1,1,2,1,7,4
1,8,7,8,2,7,1,2,8,1
1,5,7,1,2,4,11,11,1,8
11,8,6,1,22,2,8,4,22,2
1,4,1,1,5,4,2,1,4,2
2,44,44,44,44,44,44,44,55,44
44,44,44,44,44,55,66,44,44,44
66,44,44,44,44,44,44,44,44,44
44,6,7,7,7,1,1,1,7,1
1,44,44,44,44,55,44,7,2,8
1,4,2,2,4,2,1,7,2,4
11,1,1,7,1,5,2,1,7,7
2,1,1,1,7,2,3,1,2,4
1,7,1,2,1,5,1,1,3,2
1,2,8,1,8,6,3,8,4,3
8,1,6,1,5,1,2,4,5,2
2,5,1,5,1,5,1,2,5,1
2,4,1,11,1,5,1,8,1,1
2,22,5,1,2,2,1,444,444,111
555,444,444,44,44,55,44,44,44,44
44,44,44,44,44,44,44,66,44,44
44,44,44,44,44,44,44,44,44,44
44,44,44,44,44,44,44,66,44,44
44,44,44,44,44,44,44,44,44,44
44,44,44,44,44,2,1,2,3,11
2,2,8,2,11,1,11,4,5,8
44,55,44,44,44,44,44,44,44,55
44,4,1,1,1,2,3,1,2,1
2,6,4,2,1,4,2,8,8,1
1,1,6,5,6,2,2,5,2,8
8,55,1,5,1,2,7,1,2,6
1,1,333,444,444,444,444,555,444,111
111,111,444,444,444,444,666,4,1,11
7,1,3,4,1,1,7,1,2,3
7,1,1,1,4,1,1,4,2,1
7,3,2,3,1,1,11,2,6,4
6,2,2,4,1,22,8,1,1,5
44,44,55,44,44,44,44,44,44,44
1,2,3,1,8,6,1,2,1,11
7,4,4,1,3,7,3,2,6,1
44,44,44,66,44,44,44,44,55,44
4,1,2,8,4,4,5,2,1,3
4,1,1,7,2,4,3,7,1,1
1,22,1,5,4,3,2,1,5,1
1,5,8,4,7,1,33,2,1,8
444,444,111,444,111,111,111,222,444,444
111,111,111,44,1,2,4,4,8,7
11,3,1,1,1,2,1,3,1,6
7,7,4,7,44,44,5,2,6,11
5,6,6,6,1,4,7,7,2,4
6,2,7,4,2,5,1,1,4,1
2,3,4,2,6,4,4,4,1,11
2,1,2,8,1,6,5,4,1,4
6,6,11,4,4,5,3,1,1,1
3,1,8,1,7,8,11,1,1,2
33,3,2,2,1,1,1,1,1,3
7,6,2,5,6,2,22,2,7,11
2,4,2,5,1,2,1,1,1,1
5,1,1,11,8,1,2,2,1,2
8,2,4,3,4,1,7,6,4,7
6,7,7,2,11,7,5,4,1,5
2,5,1,1,7,3,4,6,6,5
3,4,1,9,7,3,9,2,6,2
1,7,1,8,4,1,7,4,2,5
2,6,2,11,33,5,2,1,7,2
4,2,1,1,4,2,4,11,2,2
1,7,1,1,2,6,7,2,1,2
4,2,6,2,1,2,1,4,1,1
1,8,1,11,7,6,7,2,1,6
3,4,7,7,1,4,33,1,8,4
44,44,44,44,44,44,44,44,44,44
44,55,55,44,44,44,44,55,44,44
44,44,44,44,44,55,44,55,44,44
7,4,8,2,2,2,1,22,1,2
1,9,1,4,2,7,6,1,8,11
6,1,2,2,11,1,4,1,3,1
4,11,4,7,2,5,2,2,1,1
2,2,1,4,4,4,4,2,6,1
3,1,1,7,1,7,5,11,7,7
5,7,11,2,7,1,6,1,5,2
1,1,33,2,1,1,7,2,3,4
4,1,7,8,1,1,1,2,5,1
1,6,11,1,1,1,7,1,1,2
4,11,11,7,2,1,2,4,2,7
9,4,7,2,2,5,3,2,22,1
8,4,11,1,3,7,8,2,4,2
4,3,7,1,22,8,2,2,8,6
11,1,22,1,8,7,5,11,5,7
1,9,2,7,4,5,2,5,5,3
7,5,2,5,1,1,4,4,1,1
2,8,1,1,1,1,7,5,33,6
66,44,44,44,44,44,44,44,44,44
55,66,44,55,44,44,44,44,44,44
5,6,2,8,11,1,4,2,1,2
1,1,11,1,1,4,1,1,2,8
8,1,4,8,11,2,7,1,4,1
55,44,7,1,1,6,2,6,1,1
4,4,2,7,6,1,4,7,4,9
2,8,33,7,7,1,1,2,7,2
2,4,2,5,2,5,11,2,7,7
1,7,11,7,1,1,1,1,1,7
1,4,3,3,4,7,1,1,2,5
1,5,2,2,22,2,4,2,4,2
5,5,7,9,9,1,5,7,4,2
4,22,5,3,6,2,1,4,1,1
1,2,1,22,5,1,7,1,8,4
555,444,444,222,2,1,2,3,1,22
1,2,7,3,1,3,11,1,3,7
2,1,1,6,1,7,6,1,7,2
5,6,2,1,1,1,11,11,2,4
2,7,1,6,8,22,1,2,1,1
8,2,5,4,2,2,22,5,4,1
1,7,4,2,1,1,5,4,5,7
4,1,1,6,1,3,11,4,5,22
5,2,4,1,4,6,7,2,4,1
1,4,3,2,1,1,1,8,3,1
3,2,2,1,22,8,1,11,5,11
3,2,1,4,1,1,1,5,4,3
1,2,1,1,1,2,2,7,1,4
7,4,4,11,1,7,1,1,3,2
2,7,1,11,1,1,6,1,2,1
1,3,4,11,2,22,1,4,1,4
1,1,5,7,5,4,2,8,5,4
1,3,1,1,7,2,5,6,4,1
1,2,4,5,1,6,1,8,1,2
2,1,1,4,7,2,8,1,2,1
4,3,1,1,2,2,4,2,7,1
3,4,2,11,1,2,1,6,9,2
44,44,44,55,55,44,44,44,44,44
44,44,55,44,44,44,44,44,55,44
55,44,44,44,44,44,44,44,44,55
44,44,44,44,44,55,44,1,3,22
7,2,1,2,2,11,1,44,44,55
44,2,7,8,1,1,2,4,1,2
7,2,5,5,7,1,11,1,4,7
2,3,1,4,1,1,1,1,1,4
2,8,4,8,7,3,1,1,4,2
1,5,2,1,1,6,1,4,3,5
5,1,2,4,2,1,2,2,1,11
7,1,1,2,1,8,6,11,7,2
11,1,4,4,1,1,4,8,1,4
5,7,3,2,9,4,4,6,8,6
2,2,1,1,5,1,1,2,7,4
1,44,44,44,44,2,1,1,5,1
1,2,7,4,7,1,1,8,7,4
4,1,4,1,8,6,2,4,2,3
1,8,5,2,5,5,1,7,2,2
11,6,3,6,1,7,7,5,2,5
6,11,5,7,1,1,4,6,7,5
9,8,1,2,4,1,1,3,7,1
1,1,5,4,1,8,2,4,8,11
1,7,6,2,1,1,3,1,4,5
5,11,2,1,3,1,1,1,1,7
2,7,1,4,44,44,44,44,44,44
55,44,44,44,44,44,44,44,44,44
44,44,44,44,44,2,7,8,4,5
1,8,5,4,1,2,3,1,2,4
33,2,2,11,4,1,4,1,1,22
1,1,1,7,4,7,1,2,6,2
1,1,11,11,1,4,1,7,1,1
2,5,7,2,1,7,3,1,5,4
3,1,3,1,7,22,2,1,8,2
5,1,1,4,1,2,4,5,2,8
